code_zone_geo;zone_geographique;annee;code_type_org;type_d_organisme;code_indicateur;indicateur;code_type_pers;type_de_personnel;secret;non_disponible;etat_des_donnees;valeur
52;Pays de la Loire;2008;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;11911.33
52;Pays de la Loire;2010;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;408.23
52;Pays de la Loire;2012;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;2093.24
53;Bretagne;2003;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;5303.41
53;Bretagne;2006;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;8515.2
53;Bretagne;2006;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;3218.78
82;Rhône-Alpes;2002;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;16771.1
82;Rhône-Alpes;2002;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;11496.76
82;Rhône-Alpes;2003;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;15345.87
82;Rhône-Alpes;2004;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;22996.19
82;Rhône-Alpes;2005;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;15992.73
82;Rhône-Alpes;2006;2;Entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;3152.76
82;Rhône-Alpes;2008;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;4688.19
82;Rhône-Alpes;2010;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;30105.07
82;Rhône-Alpes;2012;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;18115.94
82;Rhône-Alpes;2013;2;Entreprises;dird;Dépense intérieure de R&D;;;non;non;semi-définitif;3750.4
